subject,level,class_level,series,paper,title,path
"Accounting",advanced,upper_sixth,"a_commercial",1,"CAMEROON GCE ADVANCED LEVEL ACCOUNTING P1 SET 1","content/papers/accounting/mcq-1.md"
"Accounting",advanced,upper_sixth,"a_commercial",2,"CAMEROON GCE ADVANCED LEVEL ACCOUNTING P1 SET 2","content/papers/accounting/mcq-2.md"
"Accounting",advanced,upper_sixth,"a_commercial",3,"CAMEROON GCE ADVANCED LEVEL ACCOUNTING P1 SET 3","content/papers/accounting/mcq-3.md"
"Accounting",advanced,upper_sixth,"a_commercial",1,"CAMEROON GCE ADVANCED LEVEL ACCOUNTING P2 SET 1","content/papers/accounting/set-1.md"
"Accounting",advanced,upper_sixth,"a_commercial",2,"CAMEROON GCE ADVANCED LEVEL ACCOUNTING P2 SET 2","content/papers/accounting/set-2.md"
"Accounting",advanced,upper_sixth,"a_commercial",3,"CAMEROON GCE ADVANCED LEVEL ACCOUNTING P2 SET 3","content/papers/accounting/set-3.md"
"Accounting",ordinary,form_5,"commercial",4,"CAMEROON GCE ORDINARY LEVEL ACCOUNTING P2 SET 4","content/papers/accounting/set-4.md"
"Accounting",ordinary,form_5,"commercial",5,"CAMEROON GCE ORDINARY LEVEL ACCOUNTING P2 SET 5","content/papers/accounting/set-5.md"
"Accounting",ordinary,form_5,"commercial",6,"CAMEROON GCE ORDINARY LEVEL ACCOUNTING P2 SET 6","content/papers/accounting/set-6.md"
"Accounting",ordinary,form_5,"commercial",7,"CAMEROON GCE ORDINARY LEVEL ACCOUNTING P2 SET 7","content/papers/accounting/set-7.md"
"Accounting",ordinary,form_5,"commercial",8,"CAMEROON GCE ORDINARY LEVEL ACCOUNTING P2 SET 8","content/papers/accounting/set-8.md"
"Additional Mathematics",ordinary,form_5,"general",1,"CAMEROON GCE ORDINARY LEVEL ADDITIONAL MATHEMATICS P1 SET 1","content/papers/additional-mathematics/mcq-1.md"
"Additional Mathematics",ordinary,form_5,"general",2,"CAMEROON GCE ORDINARY LEVEL ADDITIONAL MATHEMATICS P1 SET 2","content/papers/additional-mathematics/mcq-2.md"
"Additional Mathematics",ordinary,form_5,"general",3,"CAMEROON GCE ORDINARY LEVEL ADDITIONAL MATHEMATICS P1 SET 3","content/papers/additional-mathematics/mcq-3.md"
"Additional Mathematics",ordinary,form_5,"general",1,"CAMEROON GCE ORDINARY LEVEL ADDITIONAL MATHEMATICS P2 SET 1","content/papers/additional-mathematics/set-1.md"
"Additional Mathematics",ordinary,form_5,"general",2,"CAMEROON GCE ORDINARY LEVEL ADDITIONAL MATHEMATICS P2 SET 2","content/papers/additional-mathematics/set-2.md"
"Additional Mathematics",ordinary,form_5,"general",3,"CAMEROON GCE ORDINARY LEVEL ADDITIONAL MATHEMATICS P2 SET 3","content/papers/additional-mathematics/set-3.md"
"Additional Mathematics",ordinary,form_5,"general",4,"CAMEROON GCE ORDINARY LEVEL ADDITIONAL MATHEMATICS P2 SET 4","content/papers/additional-mathematics/set-4.md"
